County/Sub County,Total,Farming,Crop Production,Livestock Production,Aquaculture,Fishing,Irrigation,Maize,Sorghum,Rice,Potatoes,Beans,Cassava,Sweet Potatoes,Wheat,Green grams,Bananas,Cabbages,Tomatoes,Onions,Ground Nuts,Millet,Watermelons,Kales,Sugarcane,Cotton,Exotic cattle 0Dairy,Exotic cattle 0Beef,Indigenous cattle,Sheep,Goats,Camels,Donkeys,Pigs,Indigenous Chicken,Exotic Chicken Layers,Exotic Chicken Broilers,Beehives,Rabbits,Fish Ponds,Fish Cages
LUGARI,27862,23281,22598,16655,114,143,366,22152,1793,,1862,18536,3918,10186,,449,14130,838,1542,1938,2324,2310,127,9634,4813,,3545,524,8988,2463,2527,27,1843,14310,846,310,253,242,110,14,
MATETE,13956,11488,11178,7614,58,140,151,10806,887,,1314,8790,2654,5635,,458,6456,384,900,1003,2670,804,98,5106,6596,,1666,279,4642,522,1415,7,205,6264,420,181,124,104,54,11,
MATUNGU,36457,30321,29385,20844,269,257,440,28872,4093,,3752,21894,11983,12315,,972,13438,575,1081,743,12769,2183,246,8971,5348,,1953,485,14223,1691,3358,19,888,16562,744,458,75,157,260,35,
MUMIAS EAST,26049,21549,20864,15423,156,278,385,20364,1729,,2211,14861,9245,9828,,750,12950,553,871,792,9037,771,162,9833,6678,,1944,275,10332,1226,1811,5,301,12778,377,185,58,286,148,11,
MUMIAS WEST,27671,19375,18603,12604,114,177,215,18074,3031,,1459,14036,7680,8041,,511,9860,271,582,822,8081,1331,101,7203,1937,,1236,256,7630,1742,1671,9,522,10486,483,268,40,160,110,12,
NAVAKHOLO,32315,29022,28312,20811,244,496,300,27555,2097,,3748,24040,13607,17044,,1840,19933,961,2453,1904,17236,1240,295,16425,18037,,3012,421,13997,1611,4341,11,416,17652,568,182,113,247,225,38,
VIHIGA,143365,113753,108522,84158,493,625,1512,105807,5160,,4222,89528,40867,50944,,2243,84487,2308,4613,11438,14238,2062,,46248,25329,,12316,1151,54900,2946,14395,37,1324,72658,2399,821,338,1961,478,23,
EMUHAYA,23804,20210,19319,15249,105,108,256,18949,1243,,671,15952,8014,9938,,345,15553,276,604,1454,2902,559,,8444,3788,,1716,182,10821,458,1946,18,296,13378,247,82,70,486,102,6,
VIHIGA,23375,18652,17927,14385,87,98,244,17479,988,,760,15281,7724,9811,,628,14877,415,1035,1955,5400,400,,7942,5077,,1985,134,9715,350,3555,1,98,12687,411,106,34,192,83,4,
SABATIA,31422,25789,24892,19441,81,134,329,24235,958,,967,21396,8626,10280,,562,19856,618,777,2555,380,318,,10952,6417,,4315,251,11159,735,2787,7,329,16937,686,188,86,422,78,1,
LUANDA,26766,20058,18984,14155,78,132,340,18597,1178,,713,14273,6315,7874,,369,13598,342,946,1514,3421,431,,8030,3636,,1745,285,9114,565,2386,8,311,12036,381,201,31,425,75,3,
HAMISI,37986,29042,27398,20928,142,153,343,26545,793,,1111,22625,10188,13041,,339,20603,657,1251,3960,2135,354,,10880,6411,,2555,299,14091,838,3721,3,290,17620,674,244,117,436,140,9,
KAKAMEGA FOREST,12,2,2,0,0,0,0,2,,,,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BUNGOMA,358796,280445,269979,197318,1530,1944,6310,262063,28889,,40882,222747,72760,102940,7644,20851,160195,11059,19364,17992,93242,27667,2975,96113,57105,2169,32344,5254,113733,25103,40859,4094,5377,161433,6497,2341,3247,2587,1408,217,
BUMULA,44954,39540,38672,28094,290,240,488,38051,4807,,6096,33223,16773,16223,1004,1814,19850,855,2703,1510,17551,3610,645,11074,4496,462,2940,596,17744,1592,7213,69,1776,23086,963,375,161,289,265,30,
BUNGOMA CENTRAL,37803,31835,30921,23232,153,230,738,30119,4485,,4099,27450,8297,12083,1241,4436,20570,864,1723,1065,17003,4904,343,9915,5455,242,4082,607,12965,2254,5047,210,688,19039,683,241,212,432,136,21,
BUNGOMA EAST,24873,19688,18959,13687,74,171,442,18256,1493,,1926,14731,3953,8274,595,1149,11893,512,864,746,6043,2087,184,7232,7810,115,2272,350,8331,1391,2079,3,305,11284,331,119,281,234,69,12,
BUNGOMA NORTH,24998,20848,20059,14982,118,184,386,19517,1824,,1777,15116,4526,7683,454,693,12888,606,825,615,2677,1754,130,6828,6078,94,3128,454,8399,3072,1615,9,186,12663,610,216,310,191,111,11,
BUNGOMASOUTH,69151,41443,39568,27199,266,285,812,38314,4726,,6361,31823,12916,17632,1084,2372,22809,1227,3173,2177,17721,3707,499,15569,12199,403,5165,707,14109,1722,6598,120,671,22116,977,360,251,374,248,34,
CHEPTAIS,26326,22457,21804,15645,139,120,1155,20639,975,,7171,17980,2356,3228,547,952,10749,3274,3462,6569,1909,485,113,8831,697,135,2431,578,9257,3266,3141,2191,453,12333,508,145,579,68,116,47,
KIMILILI,35263,25205,24062,16303,131,176,767,23336,2139,,2304,19458,5118,8562,547,1769,15762,874,932,786,6938,2002,267,7785,3861,187,3546,612,8484,2335,2334,54,210,12652,569,207,150,234,126,15,
MT. ELGON,15276,12376,11738,9328,49,56,392,11157,725,,4516,8908,915,1661,215,107,5738,1132,428,1638,281,1384,60,3901,543,47,1504,192,6524,2817,1746,970,53,7231,217,50,408,71,46,4,
BUNGOMA WEST,25172,22145,21615,16244,102,97,320,21201,2853,,2344,19429,6575,7261,461,3689,13195,585,2824,831,9058,2162,338,7965,1001,236,1656,297,9483,1179,6046,176,336,13724,467,96,141,159,93,18,
TONGAREN,21343,17578,16842,12415,88,131,299,16498,1351,,1450,13273,2848,6384,577,289,9655,554,849,667,993,1605,156,5946,1805,91,2453,354,6142,3359,928,21,135,10576,539,223,236,116,84,12,
WEBUYE WEST,32839,26624,25732,19484,120,249,511,24971,3511,,2836,21356,8483,13949,919,3581,17086,576,1581,1388,13068,3967,240,11067,13160,157,3166,507,11677,1583,3781,8,564,16214,632,309,172,418,114,13,
MT. ELGON FOREST,798,706,7,705,0,5,0,4,,,2,,,,,,,,,,,,,,,,1,0,618,533,331,263,0,515,1,0,346,1,0,0,
BUSIA,198152,148257,140668,105208,547,6139,2888,135790,53701,2206,11163,99743,71591,61973,,7815,51930,2572,7945,3335,49979,25825,1638,29615,13949,2109,5059,1928,62969,7555,28082,145,29180,88203,2895,1331,629,1313,506,57,
BUNYALA,19039,12676,10930,8488,65,4238,1072,9683,7636,969,856,7818,2320,4834,,632,1716,262,1075,278,1133,1148,139,2081,542,67,211,106,4432,480,3242,6,2404,6623,195,146,16,38,57,9,
BUSIA,33160,19412,18083,13445,80,122,357,17526,7008,131,1595,12303,7957,7931,,768,6163,323,612,669,5096,2696,144,4271,1623,135,930,307,7780,1160,2714,17,4663,10949,511,330,54,201,65,8,
BUTULA,32213,26650,25677,18428,72,163,332,25235,12232,189,2246,18400,13465,12450,,941,10573,423,776,599,13314,6077,177,5932,1850,143,910,321,12105,1541,2938,10,3121,15530,454,180,47,234,67,9,
NAMBALE,23892,19743,19023,14208,82,111,222,18550,3728,190,2030,13547,9373,8284,,964,8297,389,1027,450,7043,2707,249,4405,4580,199,1010,293,9907,1191,2505,34,3028,11880,624,212,63,160,81,9,
SAMIA,23884,19701,18636,13616,86,1274,305,18000,12364,95,935,15426,11002,10734,,1116,4160,319,979,494,6163,2375,168,3378,717,416,365,111,7733,1195,4595,4,5103,11395,152,76,131,227,83,6,
TESO NORTH,29395,23180,22404,17557,79,103,300,21835,4052,126,1499,17479,11893,10092,,1763,10942,509,1891,380,9374,4782,320,5081,981,721,731,313,9919,885,6294,58,3358,15460,356,126,195,172,77,6,
TESO SOUTH,36569,26895,25915,19466,83,128,300,24961,6681,506,2002,14770,15581,7648,,1631,10079,347,1585,465,7856,6040,441,4467,3656,428,902,477,11093,1103,5794,16,7503,16366,603,261,123,281,76,10,
SIAYA,250698,194362,184964,129156,828,12741,4389,181114,99872,1310,9298,132295,59310,67040,15925,60751,2906,10464,10099,47293,18069,1794,49344,8326,3125,,3956,1467,85837,35629,43129,3222,5145,111991,2186,1173,441,1208,564,311,
SIAYA,57553,44532,42203,29987,133,685,1134,41256,24591,602,2188,32778,15539,18212,2070,11557,684,2538,2182,8777,3442,406,11285,1704,235,,1056,415,19842,8016,8579,193,1535,25938,485,273,115,229,118,25,
GEM,44884,38224,36970,25866,146,288,517,36527,13982,151,1719,29190,14553,16761,979,23395,684,1755,3649,10747,2474,264,15097,3212,186,,983,259,17369,7412,6967,389,1146,22512,364,170,67,362,137,19,
UGENYA,33565,27847,26882,17066,56,178,347,26465,16657,216,2080,22578,11484,12939,957,10350,505,841,1173,9013,3989,198,6350,1218,119,,435,253,11114,4097,4408,19,1325,14554,434,246,44,243,51,6,
UGUNJA,26328,21054,20236,14193,62,167,305,19948,9736,92,1093,16029,7382,9404,742,8398,400,632,1302,5713,2376,144,7122,1101,112,,450,83,9757,3646,2700,19,543,12462,231,76,25,204,58,7,
BONDO,51362,32920,30285,22176,321,7604,1042,29263,16351,141,1081,15715,4506,4698,3346,3437,433,2444,1068,2748,3296,462,5371,545,218,,600,239,14597,5720,11645,1154,419,19152,372,235,105,96,130,220,
RARIEDA,37006,29785,28388,19868,110,3819,1044,27655,18555,108,1137,16005,5846,5026,7831,3614,200,2254,725,10295,2492,320,4119,546,2255,,432,218,13158,6738,8830,1448,177,17373,300,173,85,74,70,34,
KISUMU,300745,147117,133391,99284,783,6084,9692,126050,66687,10259,8789,62434,37426,30515,22727,38295,2447,13653,9675,24973,14492,2037,34752,17204,2174,,4642,1632,60438,34871,34414,1912,537,81039,2634,1109,375,1082,698,138,
KISUMU EAST,61871,16348,13516,10354,119,235,875,12302,5174,695,696,5060,3666,3322,1334,3736,252,1245,877,911,1432,264,3698,1329,161,,511,234,5291,2800,3018,58,78,7993,362,191,33,122,107,22,
KISUMU CENTRAL,52331,4157,2541,2769,47,289,451,1925,602,195,207,1015,487,451,219,602,115,440,329,352,346,104,1009,414,39,,186,94,799,456,707,21,50,2010,200,147,12,41,37,15,
KISUMU WEST,45933,23207,21018,15276,99,1009,538,20287,7307,141,1159,12046,8682,7559,1453,9943,284,1572,1408,4735,1759,203,6149,1126,98,,730,223,9454,2950,4489,32,105,12800,269,103,22,228,85,16,
SEME,29404,24014,22896,16524,91,1634,459,22284,13750,151,1587,11737,9807,7040,5537,7100,398,1999,1193,9169,3654,261,5457,611,140,,700,180,11477,4784,6039,414,156,14415,434,135,65,159,84,21,
MUHORONI,37193,26368,25070,16932,141,384,2284,24021,11280,3156,2645,14115,6489,5931,2993,6933,632,2853,2456,1360,2369,315,7053,10460,345,,791,230,10531,6764,5439,460,74,13645,395,120,89,223,131,14,
NYANDO,38460,26570,24012,18947,162,1613,4150,22381,15745,5410,884,7938,2427,1868,6985,2404,366,2628,986,1016,2404,550,4888,1690,1164,,663,263,12382,9027,6878,487,42,15105,297,124,66,131,142,28,
NYAKACH,35553,26453,24338,18482,124,920,935,22850,12829,511,1611,10523,5868,4344,4206,7577,400,2916,2426,7430,2528,340,6498,1574,227,,1061,408,10504,8090,7844,440,32,15071,677,289,88,178,112,22,
HOMA BAY,262036,193812,184367,127914,1056,17770,5214,179727,68877,1977,21889,111932,58238,47972,16258,56152,3462,15109,23022,61360,18769,2532,53518,25278,3263,,5830,2512,87253,36093,43402,8416,1973,106788,3457,1780,608,762,939,174,
HOMA BAY,29318,16401,15287,10763,68,499,712,14776,5642,99,1725,9772,4272,3300,1466,3994,325,1741,2416,5257,1614,315,5302,2270,222,,551,186,7288,3442,2833,596,31,8727,294,94,26,66,53,16,
NDHIWA,48062,40976,40095,26414,217,439,559,39664,8752,337,7601,30245,14918,11860,3376,14761,869,2731,4692,16062,2732,403,14267,17233,328,,1131,563,19548,6628,5856,862,1763,22526,552,242,60,138,201,36,
RACHUONYO NORTH,41809,32414,30579,22122,153,3824,1325,29483,16472,154,1673,14962,7063,4294,5872,4168,350,2742,1340,13057,4247,452,5679,765,1494,,609,278,15057,7564,10279,1556,23,18564,472,300,88,59,134,22,
RACHUONYO EAST,27319,23388,22723,16064,120,186,247,22300,7449,91,2606,14948,8576,10275,840,13021,412,1456,3721,6550,1681,161,8042,1419,125,,1161,303,11294,5233,4893,402,24,13734,475,355,152,209,117,6,
RACHUONYO SOUTH,30990,23419,22592,15379,124,149,336,22164,6122,140,2608,14084,7991,7969,710,9752,355,1281,3930,8186,2352,224,7198,968,152,,813,413,10889,4415,3523,342,25,13298,495,233,100,148,113,18,
RANGWE,27003,22145,21456,14437,112,461,763,21005,7651,956,3273,12531,9251,6651,1420,5824,576,1863,4123,8898,2167,277,7448,1634,494,,1030,536,9759,4852,4019,465,28,11676,753,348,43,66,105,16,
SUBA NORTH,29766,17645,15729,11588,137,7173,865,14975,8722,81,782,7190,1731,1346,1399,2006,198,1726,1044,1431,1711,398,2914,424,333,,283,101,6829,2290,6336,1876,40,9316,247,98,45,38,105,35,
SUBA SOUTH,27769,17424,15906,11147,125,5039,407,15360,8067,119,1621,8200,4436,2277,1175,2626,377,1569,1756,1919,2265,302,2668,565,115,,252,132,6589,1669,5663,2317,39,8947,169,110,94,38,111,25,
MIGORI,240168,169958,160703,112935,915,6807,2995,156039,28039,,24080,98634,62251,61576,5511,56025,4584,13375,21117,36245,16599,2541,54924,35791,,,7284,2712,80615,19304,36599,3192,855,93981,2942,1515,1512,822,848,116,
AWENDO,27033,20101,19364,11848,108,176,233,18804,1635,,2896,10379,6215,4837,654,9126,237,849,2975,5604,525,146,7076,10948,,,794,325,7703,2511,2369,25,247,9900,304,125,37,135,106,6,
KURIA EAST,17363,14610,14100,10685,120,84,238,13830,4301,,3013,11393,5016,8034,587,8068,1063,2150,3328,3312,4837,388,7583,1251,,,998,512,8248,2128,4536,176,8,8847,394,268,388,51,112,26,
KURIA WEST,39781,28212,27060,19541,192,208,337,26535,5863,,3580,19450,9870,16302,772,8328,1414,2969,4872,5988,4163,477,11080,1539,,,1658,406,14962,1716,6243,55,15,16530,487,251,866,158,178,25,
NYATIKE,40257,26354,22692,19465,116,5723,1203,21396,7950,,3345,10193,8735,6103,1056,1351,297,2510,691,2705,3151,763,3180,835,,,533,253,13922,3358,9420,2007,70,15920,349,199,39,62,89,28,
RONGO,29087,19910,19175,12145,111,160,206,18699,1415,,2691,9499,5982,5519,400,10016,423,919,2977,4629,651,153,7134,8328,,,1377,408,8208,2486,2188,19,119,10023,504,204,34,132,107,13,
SUNA EAST,27302,18705,17871,12410,78,134,203,17353,1537,,1937,12196,6177,5950,692,7795,349,1009,2153,4854,619,144,6411,3174,,,559,144,8598,2209,3703,216,19,10761,210,140,62,82,71,5,
SUNA WEST,29251,17050,16192,10316,66,151,238,15736,2908,,3183,9081,9022,5760,459,2270,308,1284,939,2302,1649,194,3974,579,,,540,323,6977,2137,3214,160,23,7773,403,216,45,36,64,5,
URIRI,30094,25016,24249,16525,124,171,337,23686,2430,,3435,16443,11234,9071,891,9071,493,1685,3182,6851,1004,276,8486,9137,,,825,341,11997,2759,4926,534,354,14227,291,112,41,166,121,8,
KISII,308054,219853,207400,148742,810,1069,2972,194138,31358,,12622,141895,18851,24900,4062,147402,7271,8830,44787,14773,41160,,129308,29793,,,28865,3065,87010,4425,24514,1095,85,114896,11297,3856,666,1328,768,112,
ETAGO,18610,15099,14505,9980,65,78,155,13639,2610,,1430,10198,2505,2205,332,8568,398,746,3010,2328,2774,,7313,6911,,,1457,198,6240,169,1420,102,5,7721,527,162,35,86,63,13,
GUCHA,19657,15067,14317,10023,51,103,143,13349,1927,,750,9267,1388,1971,343,9946,350,404,2085,1300,2233,,9132,1979,,,1991,231,5796,274,1048,32,5,7666,1001,283,35,75,48,6,
GUCHASOUTH,19732,15386,14658,10301,88,59,189,14291,3434,,886,10459,1901,2173,600,9081,342,713,2745,3355,4223,,9000,3355,,,1610,324,6307,229,1526,11,3,8357,885,446,46,78,85,21,
KENYENYA,30989,23613,22334,15551,87,95,209,20895,2432,,1762,15730,1592,3466,257,16501,868,709,3328,488,2815,,13128,2646,,,4003,347,8600,581,1753,153,3,11290,1357,551,53,95,81,11,
KISII CENTRAL,44311,24658,22477,17143,110,148,330,19737,1647,,863,13871,1543,2264,250,16889,856,913,5322,237,2300,,15368,3695,,,3486,223,9471,532,2630,23,11,13486,1145,344,81,190,103,11,
KISII SOUTH,31696,22532,21174,14010,71,159,413,19966,2768,,917,13488,2614,1875,397,16249,431,600,4684,2929,2662,,11945,4139,,,2620,350,7918,221,2344,10,15,10751,924,234,50,166,63,10,
KITUTU CENTRAL,41271,20197,18387,12935,70,79,277,16904,2017,,644,10689,1865,1987,495,12077,457,814,3959,1377,2922,,10197,1618,,,1935,206,6906,406,2697,33,17,10148,802,310,61,179,68,8,
MARANI,26186,21857,20937,15460,82,102,203,20035,7851,,622,16119,2007,1536,330,15128,599,1250,6551,2129,7854,,14200,2218,,,2058,223,10090,525,3681,67,3,12111,742,262,119,116,79,5,
MASABA SOUTH,29232,23932,22694,18011,31,82,341,21336,2890,,2527,18773,1063,2952,598,16946,1632,1344,6354,110,6510,,16125,1259,,,3375,332,11522,791,3670,543,5,14462,1707,477,70,151,29,3,
NYAMACHE,30712,24952,23930,16774,93,103,582,22570,2258,,1614,15565,1202,2874,203,17153,1014,848,4337,136,4559,,15026,1115,,,4571,444,9258,435,2550,77,9,12297,1651,583,77,102,88,21,
SAMETA,15658,12560,11987,8554,62,61,130,11416,1524,,607,7736,1171,1597,257,8864,324,489,2412,384,2308,,7874,858,,,1759,187,4902,262,1195,44,9,6607,556,204,39,90,61,3,
NYAMIRA,150669,110028,102856,78946,461,509,1275,89330,10634,7009,73139,6117,13058,6094,1367,73928,6758,6525,27871,2934,24192,71185,11480,803,,,17463,1589,44501,3895,15487,449,27,59702,5932,1923,762,760,440,64,
BORABU,19468,10890,9747,8312,88,75,152,8241,1209,1966,7949,525,2263,568,173,6641,1598,1156,3121,142,2587,7244,1470,102,,,2992,241,3983,1028,1947,119,11,6433,942,283,169,97,84,20,
MANGA,23869,18096,16868,13024,78,92,269,14971,1566,767,11840,1319,1929,1040,204,13727,909,911,5775,99,4301,13268,2407,129,,,2638,285,7329,486,2207,32,2,10046,1011,321,156,177,77,5,
MASABANORTH,27913,20678,19241,15031,82,93,238,17087,1921,1715,14621,972,2537,1200,304,14128,1207,1043,5775,137,4889,13799,1807,186,,,2685,219,9328,666,2461,50,4,11684,867,259,117,130,76,9,
NYAMIRA NORTH,40446,31900,30306,22157,87,131,300,26777,2931,1510,21226,2210,4019,1326,320,20950,1616,1755,5446,1387,5678,18212,2669,172,,,4463,503,12624,907,5270,166,7,16364,1980,635,153,190,82,11,
NYAMIRA SOUTH,38973,28464,26694,20422,126,118,316,22254,3007,1051,17503,1091,2310,1960,366,18482,1428,1660,7754,1169,6737,18662,3127,214,,,4685,341,11237,808,3602,82,3,15175,1132,425,167,166,121,19,
NAIROBI,1506888,32258,16359,22818,279,697,3343,9867,,,7610,,,,,,,,,,,9573,,,,,2286,595,1242,1754,3863,286,1586,16471,3432,1813,154,1253,208,57,
DAGORETTI,155089,5691,3298,3818,29,81,577,2319,,,2029,,,0,0,0,0,0,0,,,2057,,,,,577,116,160,340,548,15,548,2567,576,281,23,234,23,7,
EMBAKASI,347955,3224,1361,2344,36,122,315,699,0,0,526,0,0,0,0,0,0,0,0,,,704,,,,,210,79,187,144,389,44,188,1593,405,202,11,137,22,10,
KAMUKUNJI,84365,459,208,313,10,27,56,95,,,63,,,,,,,,,,,99,,,,,14,10,13,23,32,3,5,217,55,32,1,13,8,2,
KASARANI,271290,6136,3349,4044,53,125,707,1904,,,1283,,,,,,,,,,,1934,,,,,423,112,156,226,636,27,286,2853,611,314,16,232,42,11,
KIBRA,61690,737,334,522,9,41,71,187,,,152,,,,,,,,,,,201,,,,,44,12,45,35,71,7,7,364,74,72,5,34,5,1,
LANG'ATA,62239,1712,1099,1012,35,50,258,533,,,414,,,,,,,,,,,734,,,,,135,38,134,158,180,18,37,675,141,58,40,52,29,7,
MAKADARA,70361,639,199,503,4,14,45,106,,,77,,,,,,,,,,,92,,,,,32,11,15,18,64,5,51,371,106,63,4,34,2,1,
MATHARE,74967,735,298,560,6,28,62,178,0,,142,,,,,,,,,,,147,,,,,42,24,46,47,107,15,42,381,120,69,12,33,4,2,
NJIRU,204563,10642,4642,8484,46,117,886,2950,0,0,2180,0,0,0,0,0,0,0,0,,,2715,,,,,644,138,401,647,1643,141,364,6636,1125,607,20,418,39,5,
STAREHE,69389,483,279,316,14,22,63,158,,,124,,,,,,,,,,,113,,,,,40,23,35,21,51,7,10,230,57,34,9,19,7,2,
WESTLANDS,104980,1800,1292,902,37,70,303,738,,,620,,,,,,,,,,,777,,,,,125,32,50,95,142,4,48,584,162,81,13,47,27,9,
